year;country_id;government_consumption;transfers_and_subsidies;government_investment;judicial_independence;impartial_courts;military_interference;legal_integrity;police_and_crime;impartial_public_administration;tax_compliance
2021;2;7.76;7.13;7.55;4.48;4.22;8.33;5.35;5.3;5.79;3.59
2020;2;8.03;7.05;7.55;4.19;4.3;8.33;5.4;5.3;6.0;3.59
2019;2;8.16;7.33;7.55;4.13;4.44;8.33;5.27;5.3;6.24;3.59
2018;2;8.16;6.74;7.63;4.14;4.19;8.3;5.34;5.3;6.24;3.59
2017;2;8.08;6.66;8.0;4.44;4.28;8.33;4.91;5.91;6.01;3.59
2021;3;3.47;7.82;4.0;4.04;3.03;3.33;4.72;5.9;2.63;4.76
2020;3;2.87;7.82;4.0;4.09;3.03;3.33;4.79;5.67;2.58;4.76
2019;3;3.02;7.82;4.0;4.16;3.37;3.33;4.37;5.67;2.58;4.76
2018;3;3.22;7.82;5.87;4.35;3.35;4.2;4.25;5.67;4.04;4.76
2017;3;2.71;7.82;4.61;4.21;3.24;4.17;4.24;5.55;4.06;4.76
2021;6;7.18;9.7;8.9;3.65;2.82;4.17;4.27;2.09;4.9;4.64
2020;6;7.58;9.7;6.63;4.06;2.54;4.17;4.5;1.9;4.7;4.64
2019;6;7.44;9.7;9.27;4.08;2.7;4.17;3.95;1.9;4.7;4.64
2018;6;7.15;9.67;8.03;3.95;2.7;3.3;3.9;1.9;4.72;4.64
2017;6;6.34;9.62;6.33;3.51;2.51;3.33;3.88;1.68;4.37;4.64
2021;10;5.69;5.54;8.7;4.81;4.27;7.5;4.77;5.96;7.12;4.5
2020;10;5.61;4.89;8.7;4.73;4.27;7.5;4.84;5.96;7.27;4.5
2019;10;5.91;6.49;8.7;5.07;4.46;7.5;4.26;5.96;6.53;4.5
2018;10;6.31;6.26;8.01;5.11;4.54;7.5;4.31;5.96;6.53;4.5
2017;10;5.58;6.31;7.59;5.28;4.54;7.5;4.4;5.6;6.52;4.5
2021;11;6.47;7.32;8.98;4.9;4.71;5.0;6.25;7.08;6.37;6.02
2020;11;6.89;7.22;8.98;4.69;4.78;5.83;5.77;7.08;6.26;6.02
2019;11;7.94;7.86;8.98;4.99;4.94;5.83;5.37;7.08;6.96;6.02
2018;11;8.06;7.71;10.0;4.97;4.79;5.8;5.37;7.08;5.89;6.02
2017;11;7.84;7.77;7.81;4.52;4.04;5.83;4.42;6.67;4.4;6.03
2021;13;2.77;5.16;9.31;8.46;8.15;10.0;9.08;7.96;9.69;8.16
2020;13;3.12;5.77;9.25;8.44;8.18;10.0;8.92;7.96;9.64;8.16
2019;13;3.74;6.96;9.5;8.44;8.26;10.0;8.5;7.96;9.64;8.16
2018;13;3.97;6.87;9.92;8.46;8.25;10.0;8.51;7.96;9.64;8.16
2017;13;4.03;6.84;10.0;8.56;8.28;10.0;8.5;8.06;10.0;8.16
2021;14;2.85;1.98;10.0;7.76;7.71;10.0;9.03;9.3;8.74;6.77
2020;14;3.02;1.72;10.0;7.82;7.71;10.0;9.21;9.3;9.28;6.77
2019;14;3.72;3.51;10.0;7.78;7.78;10.0;8.68;9.3;8.35;6.77
2018;14;3.77;3.49;10.0;7.75;7.78;10.0;8.66;9.3;8.35;6.77
2017;14;3.76;3.44;10.0;7.8;7.61;10.0;8.66;9.23;9.59;6.77
2021;15;5.77;7.71;0.0;4.05;2.97;5.0;4.21;7.55;2.28;6.26
2020;15;5.64;7.71;0.0;4.02;2.69;5.0;4.13;7.55;2.82;5.36
2019;15;7.05;7.71;0.0;3.89;2.86;5.0;4.01;7.55;2.78;5.36
2018;15;7.04;8.15;0.0;3.78;2.85;5.0;3.9;7.55;2.59;5.36
2017;15;6.86;7.94;1.85;3.89;2.92;5.0;3.99;6.84;2.57;5.36
2021;17;3.39;9.43;10.0;5.37;4.55;5.0;5.16;8.23;2.37;9.87
2020;17;3.26;9.43;10.0;5.37;4.45;5.0;5.0;8.23;2.41;9.87
2019;17;3.54;9.54;10.0;5.34;4.56;5.0;4.86;8.23;2.41;9.87
2018;17;3.37;9.56;9.61;5.34;4.53;5.0;4.82;8.23;2.41;9.87
2017;17;3.43;9.56;9.65;5.38;4.65;5.0;4.82;7.63;2.08;9.84
2021;18;9.45;9.23;7.55;3.22;3.17;4.17;3.61;3.34;1.47;3.81
2020;18;9.34;9.21;7.63;3.15;3.33;4.17;3.29;3.34;1.38;3.81
2019;18;9.31;9.19;8.11;3.06;3.36;4.17;3.08;3.34;1.38;3.81
2018;18;9.34;9.33;8.11;3.15;3.36;4.2;3.11;3.34;2.16;3.81
2017;18;9.4;9.32;7.56;3.29;3.29;4.17;3.24;3.2;1.63;3.81
2021;21;2.08;1.49;10.0;7.72;7.29;10.0;8.26;7.55;9.51;6.74
2020;21;1.98;0.63;10.0;7.72;7.31;10.0;8.27;7.55;9.53;6.74
2019;21;2.68;2.05;10.0;7.57;7.36;10.0;7.78;7.55;9.53;6.74
2018;21;2.68;2.14;10.0;7.57;7.37;10.0;7.77;7.55;9.53;6.74
2017;21;2.54;2.1;10.0;7.53;7.37;10.0;7.78;7.57;10.0;6.74
2021;29;0.0;8.28;7.82;6.83;5.78;8.33;6.62;5.36;7.39;4.33
2020;29;0.0;8.28;7.82;6.8;5.39;8.33;6.68;5.65;8.28;4.33
2019;29;0.0;8.67;7.82;6.74;5.82;8.33;6.24;5.65;8.77;4.33
2018;29;0.0;8.76;7.5;6.83;5.6;8.3;6.25;5.65;7.88;4.33
2017;29;0.0;8.71;7.69;6.54;5.88;8.33;5.97;5.53;8.45;4.33
2021;31;4.75;5.47;10.0;5.17;4.8;5.83;5.02;3.18;5.63;1.25
2020;31;4.52;3.72;10.0;5.29;4.76;5.83;5.18;3.18;5.2;1.25
2019;31;4.76;5.15;10.0;5.5;4.85;5.83;4.43;3.18;5.2;1.25
2018;31;4.86;5.16;10.0;5.73;4.8;6.7;4.06;3.18;4.85;1.25
2017;31;4.7;5.22;9.7;6.0;4.82;6.67;4.41;3.29;5.69;1.25
2021;34;4.55;4.88;9.15;5.6;4.46;8.33;5.5;4.88;5.12;3.78
2020;34;4.44;5.27;9.15;5.61;4.16;8.33;5.6;4.88;5.94;3.78
2019;34;5.24;5.95;9.15;5.7;4.36;8.33;5.07;4.88;5.91;3.78
2018;34;5.41;5.93;9.61;5.81;4.33;8.3;5.07;4.88;5.91;3.78
2017;34;5.74;6.13;10.0;5.62;4.22;8.33;5.22;4.7;5.34;3.71
2021;35;5.35;9.56;6.98;4.86;3.3;3.33;6.1;3.79;6.2;4.74
2020;35;5.41;9.53;6.98;5.02;3.47;3.33;6.25;4.11;6.22;4.74
2019;35;4.44;9.77;6.98;5.05;3.63;3.33;5.87;4.11;6.22;4.74
2018;35;5.21;9.77;0.85;5.02;3.77;3.3;5.98;4.11;6.22;4.74
2017;35;5.58;9.59;1.31;5.23;4.19;3.33;6.04;4.24;6.32;4.74
2021;39;7.61;9.42;8.17;3.64;3.58;4.17;3.83;3.78;1.8;4.0
2020;39;7.52;9.42;7.96;3.49;3.57;4.17;3.76;3.78;1.78;4.0
2019;39;7.86;9.3;7.82;3.52;3.79;4.17;3.52;3.78;1.78;4.0
2018;39;7.76;9.53;7.94;3.32;3.7;5.0;3.54;3.78;1.78;4.0
2017;39;7.72;9.68;5.62;3.24;3.51;5.0;3.57;3.91;0.94;4.0
2021;40;3.39;5.85;10.0;7.98;7.9;10.0;8.66;7.94;8.53;6.77
2020;40;3.45;4.45;8.97;7.67;7.76;10.0;8.51;7.71;8.55;6.77
2019;40;3.97;7.0;9.43;7.99;7.85;10.0;8.19;7.71;8.55;6.77
2018;40;4.02;7.03;9.21;7.99;7.85;10.0;8.12;7.71;9.51;6.77
2017;40;3.97;7.11;9.56;8.35;7.92;10.0;8.09;8.13;10.0;6.77
2021;44;6.16;6.83;10.0;7.57;6.89;7.5;7.39;7.36;7.46;5.84
2020;44;5.38;6.83;10.0;7.54;7.03;7.5;7.26;7.64;7.46;5.84
2019;44;6.23;8.46;10.0;7.41;7.11;7.5;6.81;7.64;7.46;5.84
2018;44;6.36;8.49;10.0;7.47;7.13;7.5;7.2;7.64;8.18;5.84
2017;44;6.38;8.5;10.0;7.52;7.03;7.5;7.31;7.74;7.88;5.84
2021;45;3.14;8.29;3.87;4.41;3.78;4.17;3.85;5.71;3.66;6.4
2020;45;2.66;8.29;3.87;4.28;3.72;5.0;4.29;5.49;3.69;5.48
2019;45;2.96;8.29;3.87;4.29;3.84;5.0;4.38;5.49;3.44;5.48
2018;45;2.93;8.29;3.93;4.33;3.91;5.0;4.39;5.49;3.44;5.48
2017;45;3.01;8.29;3.45;4.31;3.88;5.0;4.42;5.49;3.82;5.45
2021;48;6.32;7.16;6.58;5.48;4.83;4.17;4.69;3.41;4.6;4.82
2020;48;5.81;7.16;6.58;5.45;4.82;4.17;4.61;3.41;4.86;4.82
2019;48;6.27;7.48;6.58;5.41;5.13;4.17;4.24;3.41;5.15;4.82
2018;48;6.34;7.54;6.58;5.34;4.88;4.2;4.24;3.41;5.95;4.82
2017;48;6.52;8.0;6.58;5.43;4.77;4.17;4.35;3.23;5.38;4.82
2021;51;8.4;9.92;10.0;3.53;1.6;3.33;3.25;1.57;4.11;3.06
2020;51;8.86;9.92;10.0;3.49;1.75;2.5;2.82;1.57;2.54;3.06
2019;51;9.32;9.92;10.0;3.46;1.88;2.5;2.59;1.57;2.54;3.06
2018;51;9.48;9.92;10.0;3.24;1.88;2.5;2.59;1.57;1.58;3.06
2017;51;9.5;10.0;10.0;3.52;1.92;2.5;2.47;1.78;0.0;3.06
2021;53;5.69;8.14;9.31;7.25;6.43;10.0;6.58;4.48;9.11;6.65
2020;53;5.38;8.14;9.31;7.32;6.49;10.0;6.59;4.26;9.21;6.65
2019;53;5.43;8.47;9.31;7.27;6.58;10.0;6.01;4.26;9.21;6.65
2018;53;5.55;8.75;10.0;7.32;6.55;10.0;6.02;4.26;9.21;6.65
