year;country_id;free_and_fair_elections;effective_power_to_govern;separation_of_powers;independent_judiciary;prosecution_of_office_abuse;performance_of_democratic_institutions;commitment_to_democratic_institutions;level_of_socioeconomic_development;socioeconomic_barriers;monetary_stability;fiscal_stability;welfare_regime;social_safety_nets;equal_opportunity;economic_performance;output_strength;sustainability;environmental_policy;education_/_r&d_policy;level_of_difficulty;structural_constraints;conflict_intensity;gni_p.c._atlas_method_rescaled;un_educ._index_rescaled;bti_stateness_&_rule_of_law;steering_capability;prioritization;implementation;policy_learning;resource_efficiency;efficient_use_of_assets;policy_coordination;anti-corruption_policy;consensus-building;consensus_on_goals;anti-democratic_actors;cleavage_/_conflict_management;civil_society_participation;reconciliation;international_cooperation;effective_use_of_support;credibility;regional_cooperation
2010;0;6.0;2.0;3.0;2.0;2.0;3.0;3.0;1.0;1.0;5.0;4.0;1.5;1.0;2.0;5.0;5.0;1.5;2.0;1.0;9.8;10.0;10.0;10.0;10.0;8.5;3.0;3.0;3.0;3.0;2.0;2.0;3.0;1.0;3.8;3.0;4.0;4.0;3.0;5.0;6.0;6.0;6.0;6.0
2018;0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;1.0;1.0;4.0;4.0;2.5;2.0;3.0;4.0;4.0;2.5;3.0;2.0;9.0;10.0;9.0;9.0;8.0;7.9;4.3;5.0;3.0;5.0;2.7;3.0;3.0;2.0;3.8;3.0;4.0;4.0;4.0;4.0;5.7;6.0;4.0;7.0
2012;0;3.0;2.0;3.0;2.0;2.0;3.0;3.0;1.0;1.0;6.0;4.0;1.5;1.0;2.0;5.0;5.0;1.5;2.0;1.0;9.7;10.0;10.0;10.0;10.0;8.3;3.0;3.0;3.0;3.0;2.0;2.0;3.0;1.0;3.6;3.0;3.0;4.0;3.0;5.0;5.0;6.0;3.0;6.0
2014;0;3.0;2.0;4.0;3.0;2.0;3.0;3.0;1.0;1.0;6.0;4.0;1.5;1.0;2.0;5.0;5.0;2.0;2.0;2.0;9.1;10.0;9.0;9.0;9.0;7.9;3.0;3.0;3.0;3.0;2.0;2.0;3.0;1.0;3.8;3.0;4.0;4.0;3.0;5.0;4.7;5.0;3.0;6.0
2020;0;4.0;2.0;4.0;3.0;3.0;3.0;3.0;1.0;1.0;5.0;4.0;2.5;2.0;3.0;4.0;4.0;2.5;3.0;2.0;8.9;10.0;9.0;9.0;8.0;7.5;4.7;5.0;4.0;5.0;3.0;3.0;3.0;3.0;4.2;3.0;4.0;5.0;4.0;5.0;6.0;6.0;5.0;7.0
2016;0;3.0;3.0;3.0;3.0;2.0;3.0;3.0;1.0;1.0;6.0;4.0;2.0;2.0;2.0;4.0;4.0;2.5;3.0;2.0;9.1;10.0;9.0;9.0;9.0;7.9;4.0;5.0;3.0;4.0;2.7;2.0;3.0;3.0;3.8;3.0;4.0;4.0;4.0;4.0;5.3;5.0;4.0;7.0
2022;0;3.0;2.0;4.0;3.0;3.0;3.0;3.0;1.0;1.0;4.0;4.0;2.5;2.0;3.0;3.0;3.0;2.5;3.0;2.0;8.8;10.0;9.0;9.0;8.0;7.8;3.7;4.0;3.0;4.0;3.3;4.0;3.0;3.0;4.2;3.0;4.0;5.0;4.0;5.0;5.3;5.0;5.0;6.0
2010;2;8.0;8.0;7.0;5.0;5.0;7.0;9.0;6.0;6.0;9.0;8.0;6.0;6.0;6.0;7.0;7.0;5.0;5.0;5.0;4.4;6.0;2.0;6.0;2.0;3.5;6.3;7.0;6.0;6.0;4.7;4.0;6.0;4.0;7.4;10.0;8.0;6.0;7.0;6.0;8.3;8.0;8.0;9.0
2018;2;7.0;7.0;4.0;5.0;4.0;6.0;8.0;6.0;6.0;8.0;7.0;6.5;7.0;6.0;6.0;6.0;5.0;5.0;5.0;4.5;6.0;3.0;5.0;2.0;3.9;7.3;8.0;7.0;7.0;5.7;5.0;7.0;5.0;6.8;8.0;7.0;6.0;7.0;6.0;7.7;7.0;7.0;9.0
2012;2;7.0;7.0;6.0;5.0;5.0;6.0;9.0;6.0;6.0;9.0;8.0;6.0;6.0;6.0;7.0;7.0;5.0;5.0;5.0;4.6;6.0;2.0;5.0;3.0;3.6;5.7;6.0;6.0;5.0;4.7;4.0;6.0;4.0;6.4;8.0;7.0;6.0;6.0;5.0;8.0;7.0;7.0;10.0
