year;country_id;ranking_status_index;status_index;ranking_democracy_status;democracy_status;stateness;monopoly_on_the_use_of_force;state_identity;no_interference_of_religious_dogmas;basic_administration;political_participation;association_/_assembly_rights;freedom_of_expression;rule_of_law;civil_rights;stability_of_democratic_institutions;political_and_social_integration;party_system;interest_groups;approval_of_democracy;social_capital;ranking_economy_status;economy_status;organization_of_the_market_and_competition;market_organization;competition_policy;liberalization_of_foreign_trade;banking_system;monetary_and_fiscal_stability;private_property;property_rights;private_enterprise;ranking_governance_index;governance_index;civil_society_traditions;governance_performance;democracy_status_08;democracy_status_10;trend_democracy;economy_status_08;economy_status_10;trend_economy;governance_index_08;governance_index_10;trend_governance;state_failure;total;democracy/autocracy;status_index_score;status_index_category;status_index_status;democracy_status_score;democracy_status_category;democracy_status_status;economy_status_score;economy_status_category;economy_status_status;governance_index_score;governance_index_category;governance_index_status;level_of_difficulty_score;level_of_difficulty_category;level_of_difficulty_status;governance_performance_score;governance_performance_category;governance_performance_status
2010;0;124.0;2.81;123.0;2.8;2.8;1.0;6.0;3.0;1.0;4.0;4.0;4.0;2.3;2.0;3.0;2.0;2.0;2.0;;2.0;122.0;2.82;2.8;3.0;2.0;3.0;3.0;4.5;3.5;2.0;5.0;105.0;3.68;10.0;3.7;3.42;2.8;-0.62;2.86;2.82;-0.04;4.44;3.68;-0.76;1.0;4.0;Aut.;2.81;5.0;Failed;2.8;5.0;Hard-line autocracy;2.82;5.0;Rudimentary;3.68;4.0;Weak;9.8;1.0;Massive;3.7;4.0;Flawed
2018;0;121.0;2.95;114.0;3.02;3.8;2.0;6.0;3.0;4.0;3.5;4.0;4.0;2.5;2.0;3.0;2.3;2.0;3.0;;2.0;118.0;2.89;2.8;2.0;2.0;4.0;3.0;4.0;3.5;2.0;5.0;91.0;4.02;10.0;4.12;3.02;3.02;0.0;2.89;2.89;0.0;3.88;4.02;0.15;3.0;4.0;Aut.;2.95;5.0;Failed;3.02;5.0;Hard-line autocracy;2.89;5.0;Rudimentary;4.02;4.0;Weak;9.0;1.0;Massive;4.12;4.0;Flawed
2012;0;124.0;2.82;124.0;2.75;3.3;2.0;6.0;3.0;2.0;3.3;4.0;4.0;2.3;2.0;3.0;2.0;2.0;2.0;;2.0;122.0;2.89;2.8;3.0;2.0;3.0;3.0;5.0;3.5;2.0;5.0;108.0;3.38;10.0;3.4;2.8;2.75;-0.05;2.82;2.89;0.07;3.68;3.38;-0.3;2.0;5.0;Aut.;2.82;5.0;Failed;2.75;5.0;Hard-line autocracy;2.89;5.0;Rudimentary;3.38;4.0;Weak;9.7;1.0;Massive;3.4;4.0;Flawed
2014;0;122.0;2.97;120.0;2.97;3.5;3.0;6.0;3.0;2.0;3.3;4.0;4.0;2.8;2.0;3.0;2.3;2.0;3.0;;2.0;120.0;2.96;2.8;3.0;2.0;3.0;3.0;5.0;3.5;2.0;5.0;115.0;3.3;10.0;3.37;2.75;2.97;0.22;2.89;2.96;0.07;3.38;3.3;-0.08;2.5;4.0;Aut.;2.97;5.0;Failed;2.97;5.0;Hard-line autocracy;2.96;5.0;Rudimentary;3.3;4.0;Weak;9.1;1.0;Massive;3.37;4.0;Flawed
2020;0;123.0;3.21;118.0;3.28;4.0;2.0;7.0;3.0;4.0;3.8;5.0;4.0;3.0;2.0;3.0;2.7;3.0;3.0;;2.0;122.0;3.14;4.0;4.0;4.0;4.0;4.0;4.5;3.5;2.0;5.0;89.0;4.36;10.0;4.47;3.02;3.28;0.27;2.89;3.14;0.25;4.02;4.36;0.34;3.0;3.0;Aut.;3.21;5.0;Failed;3.28;5.0;Hard-line autocracies;3.14;4.0;Very limited;4.36;3.0;Moderate;8.9;1.0;Massive;4.47;4.0;Flawed
2016;0;120.0;2.95;117.0;3.02;3.8;3.0;6.0;3.0;3.0;3.5;4.0;4.0;2.5;2.0;3.0;2.3;2.0;3.0;;2.0;119.0;2.89;2.8;3.0;2.0;3.0;3.0;5.0;3.0;2.0;4.0;99.0;3.88;10.0;3.95;2.97;3.02;0.05;2.96;2.89;-0.07;3.3;3.88;0.57;3.0;4.0;Aut.;2.95;5.0;Failed;3.02;5.0;Hard-line autocracy;2.89;5.0;Rudimentary;3.88;4.0;Weak;9.1;1.0;Massive;3.95;4.0;Flawed
2022;0;126.0;2.92;119.0;3.08;3.5;2.0;6.0;3.0;3.0;3.3;4.0;4.0;3.0;2.0;3.0;2.7;3.0;3.0;;2.0;126.0;2.75;3.3;3.0;3.0;4.0;3.0;4.0;3.0;2.0;4.0;92.0;4.02;9.0;4.13;3.28;3.08;-0.2;3.14;2.75;-0.39;4.36;4.02;-0.34;2.5;4.0;Aut.;2.92;5.0;Failed;3.08;5.0;Hard-line autocracies;2.75;5.0;Rudimentary;4.02;4.0;Weak;8.8;1.0;Massive;4.13;4.0;Flawed
2010;2;30.0;7.17;32.0;7.55;8.8;9.0;9.0;10.0;7.0;8.3;9.0;8.0;6.3;8.0;8.0;6.5;6.0;6.0;8.0;6.0;33.0;6.79;7.5;6.0;7.0;10.0;7.0;8.5;7.5;7.0;8.0;38.0;5.85;7.0;6.68;7.5;7.55;0.05;6.64;6.79;0.14;5.58;5.85;0.27;8.0;0.0;Dem.;7.17;2.0;Advanced;7.55;2.0;Defective democracy;6.79;3.0;Limited;5.85;2.0;Good;4.4;4.0;Minor;6.68;2.0;Sound
2018;2;30.0;6.83;34.0;7.05;9.0;10.0;9.0;10.0;7.0;7.5;9.0;7.0;5.3;8.0;7.0;6.5;6.0;6.0;8.0;6.0;34.0;6.61;8.3;7.0;8.0;10.0;8.0;7.5;7.0;7.0;7.0;24.0;6.02;7.0;6.87;6.95;7.05;0.1;6.46;6.61;0.14;5.77;6.02;0.26;8.5;0.0;Dem.;6.83;3.0;Limited;7.05;2.0;Defective democracy;6.61;3.0;Limited;6.02;2.0;Good;4.5;3.0;Moderate;6.87;2.0;Sound
2012;2;31.0;7.02;34.0;7.25;8.8;9.0;9.0;10.0;7.0;7.5;9.0;7.0;6.0;8.0;7.5;6.5;6.0;6.0;8.0;6.0;37.0;6.79;7.5;6.0;7.0;10.0;7.0;8.5;7.5;7.0;8.0;49.0;5.44;8.0;6.18;7.55;7.25;-0.3;6.79;6.79;0.0;5.85;5.44;-0.41;8.0;0.0;Dem.;7.02;2.0;Advanced;7.25;2.0;Defective democracy;6.79;3.0;Limited;5.44;3.0;Moderate;4.6;3.0;Moderate;6.18;2.0;Sound
