"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 12;  Democracy Status 14;  Trend Democracy;;  Economy Status 12;  Economy Status 14;  Trend Economy;;  Governance Index 12;  Governance Index 14;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  State failure;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;122;2,97;120;2,97;3,5;3;6;3;2;3,3;3;2;4;4;2,8;4;3;2;2;3,0;3;3;2,3;2;3;n/a;2;120;2,96;1,0;1;2,8;3;2;3;3;5,0;6;4;3,5;2;5;1,5;1;2;5,0;5;2,0;2;2;115;3,30;9,1;10;10;9;9;9;7,9;3,37;3,0;3;3;3;2,0;2;3;1;3,8;3;4;4;3;5;4,7;5;3;6;;;2,75;2,97;0,22;â;2,89;2,96;0,07;â;3,38;3,30;-0,08;â;;;3;2;4;4;4;2;2,5;4;Aut.;;;2,97;5;Failed;2,97;5;Hard-line autocracy;2,96;5;Rudimentary;3,30;4;Weak;9,1;1;Massive;3,37;4;Flawed
Albania;1;38;6,55;43;6,70;8,5;9;8;10;7;7,0;6;7;8;7;5,0;4;4;4;8;6,5;5;8;6,5;6;6;8;6;41;6,39;5,0;5;7,8;6;8;10;7;8,0;9;7;7,0;7;7;6,0;6;6;6,0;6;5,0;5;5;57;5,17;4,5;6;7;3;5;2;4,3;5,88;5,7;6;6;5;4,7;4;6;4;6,2;8;7;5;6;5;7,0;6;6;9;;;7,25;6,70;-0,55;è;6,79;6,39;-0,39;â;5,44;5,17;-0,27;â;;;6;7;8;7;4;8;8;0;Dem.;;;6,55;3;Limited;6,70;2;Defective democracy;6,39;3;Limited;5,17;3;Moderate;4,5;3;Moderate;5,88;3;Fair
Algeria;4;79;5,11;79;4,80;7,3;7;8;6;8;5,0;6;2;6;6;4,3;4;4;4;5;2,5;3;2;5,0;4;6;n/a;5;70;5,43;5,0;5;4,5;4;4;6;4;7,0;6;8;4,5;5;4;5,5;6;5;7,0;7;4,5;5;4;77;4,58;5,4;7;5;7;5;3;5,3;5,10;4,7;5;5;4;4,7;4;5;5;5,4;5;4;6;5;7;5,7;5;6;6;;;4,30;4,80;0,50;æ;5,25;5,43;0,18;â;4,01;4,58;0,56;æ;;;6;2;6;6;4;5;7,5;1;Aut.;;;5,11;4;Very limited;4,80;4;Moderate autocracy;5,43;3;Limited;4,58;3;Moderate;5,4;3;Moderate;5,10;3;Fair
Angola;5;96;4,44;84;4,55;7,3;8;8;9;4;4,0;4;3;4;5;3,5;3;3;3;5;3,0;3;3;5,0;6;4;n/a;5;97;4,32;2,0;2;3,8;4;2;5;4;7,0;7;7;4,0;4;4;3,0;2;4;7,0;7;3,5;3;4;97;3,96;6,3;6;8;4;6;8;5,6;4,32;5,0;5;5;5;3,7;4;5;2;3,6;5;3;5;3;2;5,0;4;5;6;;;4,88;4,55;-0,33;â;4,96;4,32;-0,64;è;4,18;3,96;-0,23;â;;;4;3;4;5;3;5;6;3;Aut.;;;4,44;4;Very limited;4,55;4;Moderate autocracy;4,32;4;Very limited;3,96;4;Weak;6,3;3;Moderate;4,32;4;Flawed
Argentina;2;34;6,76;26;7,55;9,0;8;10;10;8;8,8;9;8;10;8;5,8;5;6;5;7;7,0;6;8;7,3;6;7;9;7;52;5,96;7,0;7;5,3;6;5;4;6;5,0;4;6;6,5;6;7;6,5;6;7;6,0;6;5,5;5;6;61;5,01;3,1;4;4;4;2;1;3,6;5,92;5,7;6;6;5;5,0;5;5;5;7,0;8;8;6;6;7;6,0;6;4;8;;;7,55;7,55;0,00;â;6,36;5,96;-0,39;â;5,28;5,01;-0,27;â;;;9;8;10;8;5;7;8;0;Dem.;;;6,76;3;Limited;7,55;2;Defective democracy;5,96;3;Limited;5,01;3;Moderate;3,1;4;Minor;5,92;3;Fair
Armenia;6;62;5,71;70;5,35;8,5;9;9;9;7;4,5;5;2;6;5;4,8;4;4;5;6;3,0;3;3;6,0;6;6;n/a;6;48;6,07;4,0;4;6,5;7;4;9;6;7,0;8;6;8,0;8;8;5,5;6;5;6,0;6;5,5;6;5;69;4,84;4,2;6;5;3;6;1;4,4;5,55;4,7;5;5;4;5,3;6;5;5;5,2;6;6;5;5;4;7,0;7;7;7;;;5,25;5,35;0,10;â;5,93;6,07;0,14;â;4,68;4,84;0,15;â;;;5;2;6;5;4;6;8;2;Aut.;;;5,71;3;Limited;5,35;4;Moderate autocracy;6,07;3;Limited;4,84;3;Moderate;4,2;4;Minor;5,55;3;Fair
Azerbaijan;6;88;4,71;100;3,92;7,5;7;7;9;7;3,0;3;2;4;3;3,8;3;4;4;4;2,0;2;2;3,3;3;4;n/a;3;67;5,50;5,0;5;4,5;4;3;5;6;6,5;7;6;5,5;4;7;6,0;6;6;6,0;6;5,0;6;4;97;3,96;5,1;6;7;4;5;3;5,4;4,45;4,3;5;4;4;3,3;4;3;3;3,8;6;3;4;3;3;6,3;6;7;6;;;4,02;3,92;-0,10;â;5,68;5,50;-0,18;â;4,02;3,96;-0,06;â;;;3;2;4;3;3;4;7;4;Aut.;;;4,71;4;Very limited;3,92;5;Hard-line autocracy;5,50;3;Limited;3,96;4;Weak;5,1;3;Moderate;4,45;4;Flawed
Bahrain;4;75;5,34;106;3,65;6,8;7;6;6;8;2,5;3;1;3;3;4,0;4;4;4;4;1,0;1;1;4,0;3;6;n/a;3;30;7,04;6,0;6;7,8;8;5;8;10;8,0;8;8;7,5;8;7;6,0;8;4;8,0;8;6,0;5;7;102;3,94;4,3;4;5;8;1;2;5,6;4,52;3,7;4;4;3;4,7;4;5;5;3,4;5;3;2;4;3;6,3;5;6;8;;;4,35;3,65;-0,70;è;7,43;7,04;-0,39;â;4,18;3,94;-0,24;â;;;3;1;3;3;4;4;7,5;4;Aut.;;;5,34;4;Very limited;3,65;5;Hard-line autocracy;7,04;2;Advanced;3,94;4;Weak;4,3;4;Minor;4,52;4;Flawed
Bangladesh;7;64;5,69;62;5,95;7,0;6;9;7;6;6,8;8;6;7;6;4,3;5;5;3;4;5,5;5;6;6,3;6;5;8;6;70;5,43;4,0;4;5,5;4;6;7;5;6,0;6;6;6,5;6;7;4,0;4;4;7,0;7;5,0;6;4;85;4,38;7,1;7;6;7;9;8;5,4;4,68;3,3;3;4;3;3,3;3;4;3;5,4;6;6;4;6;5;6,7;7;6;7;;;6,25;5,95;-0,30;â;5,39;5,43;0,04;â;4,57;4,38;-0,20;â;;;8;6;7;6;5;4;6;0;Dem.;;;5,69;3;Limited;5,95;3;Highly defective democracy;5,43;3;Limited;4,38;3;Moderate;7,1;2;Substantial;4,68;4;Flawed
Belarus;6;101;4,31;99;3,93;8,5;10;8;9;7;2,5;2;2;3;3;3,0;2;4;4;2;2,0;2;2;3,7;3;4;n/a;4;90;4,68;7,0;7;4,3;4;5;6;2;3,0;3;3;2,5;3;2;5,5;6;5;5,0;5;5,5;6;5;119;2,80;4,5;6;7;3;5;1;5,3;3,18;2,7;3;3;2;4,3;4;5;4;2,4;2;2;3;2;3;3,3;4;2;4;;;3,93;3,93;0,00;â;4,79;4,68;-0,11;â;2,81;2,80;-0,01;â;;;2;2;3;3;2;2;8,5;6;Aut.;;;4,31;4;Very limited;3,93;5;Hard-line autocracy;4,68;4;Very limited;2,80;5;Failed;4,5;3;Moderate;3,18;4;Flawed
Benin;3;42;6,36;26;7,55;8,5;9;9;10;6;8,3;8;9;9;7;6,5;7;7;4;8;7,5;7;8;7,0;5;8;9;6;75;5,18;3,0;3;5,8;4;5;7;7;7,0;7;7;5,5;5;6;4,5;4;5;6,0;6;4,5;5;4;32;6,04;5,8;8;3;2;9;9;3,5;6,67;5,7;5;5;7;4,7;4;6;4;8,0;8;9;9;6;n/a;8,3;7;9;9;;;7,70;7,55;-0,15;â;5,18;5,18;0,00;â;6,07;6,04;-0,03;â;;;8;9;9;7;7;8;7,5;0;Dem.;;;6,36;3;Limited;7,55;2;Defective democracy;5,18;3;Limited;6,04;2;Good;5,8;3;Moderate;6,67;2;Sound
