"Regions:
1 | East-Central and Southeast Europe
2 | Latin America and the Caribbean
3 | West and Central Africa
4 | Middle East and North Africa
5 | Southern and Eastern Africa
6 | Post-Soviet Eurasia
7 | Asia and Oceania";  Region;  Ranking Status Index;  S | Status Index;  Ranking Democracy Status;  SI | Democracy Status;  Q1 | Stateness;  Q1.1 | Monopoly on the use of force;  Q1.2 | State identity;  Q1.3 | No interference of religious dogmas;  Q1.4 | Basic administration;  Q2 | Political Participation;  Q2.1 | Free and fair elections;  Q2.2 | Effective power to govern;  Q2.3 | Association / assembly rights;  Q2.4 | Freedom of expression;  Q3 | Rule of Law;  Q3.1 | Separation of powers;  Q3.2 | Independent judiciary;  Q3.3 | Prosecution of office abuse;  Q3.4 | Civil rights;  Q4 | Stability of Democratic Institutions;  Q4.1 | Performance of democratic institutions;  Q4.2 | Commitment to democratic institutions;  Q5 | Political and Social Integration;  Q5.1 | Party system;  Q5.2 | Interest groups;  Q5.3 | Approval of democracy;  Q5.4 | Social capital;  Ranking Economy Status;  SII | Economy Status;  Q6 | Level of Socioeconomic Development;  Q6.1 | Socioeconomic barriers;  Q7 | Organization of the Market and Competition;  Q7.1 | Market organization;  Q7.2 | Competition policy;  Q7.3 | Liberalization of foreign trade;  Q7.4 | Banking system;  Q8 | Monetary and Fiscal Stability;  Q8.1 | Monetary stability;  Q8.2 | Fiscal stability;  Q9 | Private Property;  Q9.1 | Property rights;  Q9.2 | Private enterprise;  Q10 | Welfare Regime;  Q10.1 | Social safety nets;  Q10.2 | Equal opportunity;  Q11 | Economic Performance;  Q11.1 | Output strength;  Q12 | Sustainability;  Q12.1 | Environmental policy;  Q12.2 | Education / R&D policy;  Ranking Governance Index;  G | Governance Index;  Q13 | Level of Difficulty;  Q13.1 | Structural constraints;  Q13.2 | Civil society traditions;  Q13.3 | Conflict intensity;  Q13.4 | GNI p.c. Atlas method rescaled;  Q13.5 | UN Educ. Index rescaled;  Q13.6 | BTI Stateness & Rule of Law;  GII | Governance Performance;  Q14 | Steering Capability;  Q14.1 | Prioritization;  Q14.2 | Implementation;  Q14.3 | Policy learning;  Q15 | Resource Efficiency;  Q15.1 | Efficient use of assets;  Q15.2 | Policy coordination;  Q15.3 | Anti-corruption policy;  Q16 | Consensus-Building;  Q16.1 | Consensus on goals;  Q16.2 | Anti-democratic actors;  Q16.3 | Cleavage / conflict management;  Q16.4 | Civil society participation;  Q16.5 | Reconciliation;  Q17 | International Cooperation;  Q17.1 | Effective use of support;  Q17.2 | Credibility;  Q17.3 | Regional cooperation;;  Trend;  Democracy Status 18;  Democracy Status 20;  Trend Democracy;;  Economy Status 18;  Economy Status 20;  Trend Economy;;  Governance Index 18;  Governance Index 20;  Trend Governance;;;  Political System;  Q2_1 | Free and fair elections;  Q2_2 | Effective power to govern;  Q2_3 | Association / assembly rights;  Q2_4 | Freedom of expression;  Q3_1 | Separation of powers;  Q3_4 | Civil rights;  Failed State;  Total;  Democracy/Autocracy;;  Categories;  S | Status Index;  Category;  ;  SI | Democracy Status;  Category;  ;  SII | Economy Status;  Category;  ;  G | Governance Index;  Category;  ;  Q13 | Level of Difficulty;  Category;  ;  GII | Governance Performance;  Category;  
Afghanistan;7;123;3,21;118;3,28;4,0;2;7;3;4;3,8;4;2;5;4;3,0;4;3;3;2;3,0;3;3;2,7;3;3;n/a;2;122;3,14;1,0;1;4,0;4;4;4;4;4,5;5;4;3,5;2;5;2,5;2;3;4,0;4;2,5;3;2;89;4,36;8,9;10;10;9;9;8;7,5;4,47;4,7;5;4;5;3,0;3;3;3;4,2;3;4;5;4;5;6,0;6;5;7;;;3,02;3,28;0,27;â;2,89;3,14;0,25;â;4,02;4,36;0,34;â;;;4;2;5;4;4;2;3;3;Aut.;;;3,21;5;Failed;3,28;5;Hard-line autocracies;3,14;4;Very limited;4,36;3;Moderate;8,9;1;Massive;4,47;4;Flawed
Albania;1;28;6,84;33;7,15;9,0;10;9;10;7;7,8;7;7;10;7;5,5;5;5;4;8;7,0;6;8;6,5;6;6;8;6;33;6,54;6,0;6;8,3;7;8;10;8;7,5;8;7;6,5;6;7;7,0;7;7;6,0;6;4,5;5;4;29;5,95;4,5;6;7;3;5;2;3,8;6,78;7,0;8;7;6;5,7;6;6;5;6,8;8;7;6;7;6;7,7;7;7;9;;;7,05;7,15;0,10;â;6,61;6,54;-0,07;â;6,02;5,95;-0,08;â;;;7;7;10;7;5;8;8,5;0;Dem.;;;6,84;3;Limited;7,15;2;Defective democracies;6,54;3;Limited;5,95;2;Good;4,5;3;Moderate;6,78;2;Sound
Algeria;4;83;5,03;80;4,70;7,5;8;8;6;8;4,3;5;2;5;5;4,3;4;4;4;5;2,5;3;2;5,0;4;6;n/a;5;75;5,36;5,0;5;4,0;4;3;5;4;7,0;6;8;5,0;5;5;5,5;6;5;6,0;6;5,0;6;4;86;4,41;5,2;7;5;6;5;3;5,1;4,93;4,3;4;5;4;4,7;4;5;5;5,4;5;4;6;5;7;5,3;5;5;6;;;4,75;4,70;-0,05;â;5,21;5,36;0,14;â;4,55;4,41;-0,15;â;;;5;2;5;5;4;5;8;2;Aut.;;;5,03;4;Very limited;4,70;4;Moderate autocracies;5,36;3;Limited;4,41;3;Moderate;5,2;3;Moderate;4,93;4;Flawed
Angola;5;105;4,16;84;4,65;7,3;8;7;10;4;4,3;4;2;5;6;3,8;3;4;4;4;3,0;3;3;5,0;5;5;n/a;5;114;3,68;2,0;2;4,3;4;3;5;5;5,5;6;5;3,5;3;4;3,5;3;4;4,0;4;3,0;3;3;92;4,23;5,9;6;7;4;6;7;5,5;4,65;4,0;4;4;4;3,7;3;5;3;4,6;6;4;6;5;2;6,3;6;6;7;;;4,20;4,65;0,45;â;3,68;3,68;0,00;â;3,60;4,23;0,63;æ;;;4;2;5;6;3;4;6;3;Aut.;;;4,16;4;Very limited;4,65;4;Moderate autocracies;3,68;4;Very limited;4,23;4;Weak;5,9;3;Moderate;4,65;4;Flawed
Argentina;2;19;7,29;16;8,15;9,0;8;10;10;8;9,0;9;8;10;9;7,5;8;7;8;7;8,0;8;8;7,3;7;7;8;7;37;6,43;7,0;7;6,5;6;6;7;7;7,0;7;7;7,5;7;8;6,5;6;7;5,0;5;5,5;5;6;23;6,10;2,8;4;4;4;1;1;2,8;7,27;7,0;7;7;7;6,7;6;7;7;7,4;8;9;7;6;7;8,0;8;8;8;;;8,00;8,15;0,15;â;6,54;6,43;-0,11;â;6,00;6,10;0,11;â;;;9;8;10;9;8;7;8;0;Dem.;;;7,29;2;Advanced;8,15;1;Democracies in consolidation;6,43;3;Limited;6,10;2;Good;2,8;4;Minor;7,27;2;Sound
Armenia;6;35;6,69;34;7,10;8,8;9;10;9;7;8,3;9;6;9;9;6,0;6;5;6;7;6,5;6;7;6,0;5;7;6;6;43;6,29;5,0;5;6,5;6;5;8;7;8,0;9;7;7,5;7;8;6,0;6;6;6,0;6;5,0;5;5;55;5,29;3,9;6;4;3;5;2;3,6;6,12;6,0;6;6;6;5,0;5;5;5;6,8;8;6;6;7;7;6,7;7;7;6;;;5,12;7,10;1,98;ã;6,04;6,29;0,25;â;4,25;5,29;1,04;ã;;;9;6;9;9;6;7;8;0;Dem.;;;6,69;3;Limited;7,10;2;Defective democracies;6,29;3;Limited;5,29;3;Moderate;3,9;4;Minor;6,12;2;Sound
Azerbaijan;6;98;4,34;113;3,43;7,3;5;8;9;7;2,3;2;2;3;2;3,0;2;3;4;3;2,0;2;2;2,7;2;3;n/a;3;76;5,25;5,0;5;4,8;4;4;5;6;7,0;7;7;4,5;4;5;5,5;5;6;6,0;6;4,0;4;4;98;4,00;5,1;6;8;4;5;2;5,9;4,48;5,0;5;5;5;3,7;4;4;3;3,6;4;3;5;2;4;5,7;5;5;7;;;3,43;3,43;0,00;â;4,82;5,25;0,43;â;3,86;4,00;0,14;â;;;2;2;3;2;2;3;6;6;Aut.;;;4,34;4;Very limited;3,43;5;Hard-line autocracies;5,25;3;Limited;4,00;4;Weak;5,1;3;Moderate;4,48;4;Flawed
Bahrain;4;96;4,63;121;3,00;6,3;6;5;6;8;1,5;2;1;1;2;2,8;2;2;4;3;1,5;2;1;3,0;1;5;n/a;3;44;6,25;5,0;5;7,3;7;5;8;9;6,5;8;5;7,5;8;7;4,5;7;2;7,0;7;6,0;5;7;118;3,24;4,1;4;5;7;1;1;6,5;3,73;3,0;4;3;2;4,0;4;4;4;2,6;5;2;1;2;3;5,3;5;5;6;;;3,23;3,00;-0,23;â;6,00;6,25;0,25;â;3,52;3,24;-0,28;â;;;2;1;1;2;2;3;7;6;Aut.;;;4,63;4;Very limited;3,00;5;Hard-line autocracies;6,25;3;Limited;3,24;4;Weak;4,1;4;Minor;3,73;4;Flawed
Bangladesh;7;80;5,05;87;4,42;7,0;7;9;6;6;3,3;4;2;4;3;3,5;3;4;3;4;3,0;3;3;5,3;6;5;n/a;5;64;5,68;4,0;4;5,8;5;6;7;5;6,5;6;7;6,5;5;8;4,0;4;4;8,0;8;5,0;6;4;83;4,50;6,6;7;6;7;8;6;5,8;4,87;4,0;5;4;3;3,7;3;5;3;4,8;6;4;4;5;5;7,0;7;7;7;;;4,62;4,42;-0,20;â;5,61;5,68;0,07;â;4,27;4,50;0,23;â;;;4;2;4;3;3;4;6,5;4;Aut.;;;5,05;4;Very limited;4,42;4;Moderate autocracies;5,68;3;Limited;4,50;3;Moderate;6,6;2;Substantial;4,87;4;Flawed
Belarus;6;88;4,89;88;4,38;8,8;10;8;9;8;3,0;3;3;3;3;4,0;3;4;5;4;2,5;3;2;3,7;3;4;n/a;4;74;5,39;7,0;7;4,8;4;6;6;3;5,5;6;5;4,0;4;4;6,0;6;6;5,0;5;5,5;6;5;105;3,71;4,4;6;7;3;5;1;4,6;4,23;4,0;4;4;4;4,3;4;5;4;3,6;3;2;4;4;5;5,0;5;4;6;;;4,33;4,38;0,05;â;5,11;5,39;0,29;â;3,52;3,71;0,19;â;;;3;3;3;3;3;4;9;5;Aut.;;;4,89;4;Very limited;4,38;4;Moderate autocracies;5,39;3;Limited;3,71;4;Weak;4,4;4;Minor;4,23;4;Flawed
